,Name,Base Price (rs),Sold Price (rs),Team
86,"
Priyanka Bala ", 2000000 , 2000000 ," Mumbai Indians
"
87,Suzie Bates , 3000000,Unsold,Unsold
88,"
Tazmin Brits "," 3000000
",Unsold,Unsold
89,Laura Wolvaardt , 3000000,Unsold,Unsold
90,"
Tammy Beaumont "," 3000000
",Unsold,Unsold
91,"
Shikha Shalot "," 1000000
",Unsold,Unsold
92,"
Priya Punia "," 4000000
",Unsold,Unsold
93,"
Bharti Fulmali "," 3000000
",Unsold,Unsold
94,"
Divya Gnanananda "," 1000000
",Unsold,Unsold
95,"
Ishwari Savkar "," 1000000
",Unsold,Unsold
96,"
Arushi Goel "," 1000000
",Unsold,Unsold
97,"
Shamilia Connell "," 3000000
",Unsold,Unsold
98,"
Freya Davies "," 3000000
",Unsold,Unsold
99,"
Jahanara Alam "," 3000000
",Unsold,Unsold
100,"
Lea Tahuhu "," 3000000
",Unsold,Unsold
101,"
Ayabonga Khaka "," 3000000
",Unsold,Unsold
102,"
Shakera Selman "," 3000000
",Unsold,Unsold
103,"
Sarah Glenn "," 3000000
",Unsold,Unsold
104,"
Nonkululeko Mlaba "," 3000000
",Unsold,Unsold
105,"
Inoka Ranaweera "," 3000000
",Unsold,Unsold
106,Alana King , 4000000,Unsold,Unsold
107,"
Afy Fletcher "," 3000000
",Unsold,Unsold
108,"
Fran Jonas "," 3000000
",Unsold,Unsold
109,"
Falak Naz "," 1000000
",Unsold,Unsold
110,"
Gouher Sultana "," 3000000
",Unsold,Unsold
111,"
Ekta Bisht "," 3000000
",Unsold,Unsold
112,"
Sune Luus "," 3000000
",Unsold,Unsold
113,"
Dani Wyatt "," 5000000
",Unsold,Unsold
114,Chamari Athapaththu , 3000000,Unsold,Unsold
115,"
Leigh Kasperek "," 3000000
",Unsold,Unsold
116,"
Nadine de Klerk "," 3000000
",Unsold,Unsold
117,"
Salma Khatun "," 4000000
",Unsold,Unsold
118,Soumya Tiwari , 1000000,Unsold,Unsold
119,"
Grace Scrivens ","1000000
",Unsold,Unsold
120,Archana Devi , 1000000,Unsold,Unsold
121,G. Trisha , 1000000,Unsold,Unsold
122,"
Mannat Kashyap "," 1000000
",Unsold,Unsold
123,"
Najla CMC "," 1000000
",Unsold,Unsold
124,"
Sonia Mendhiya "," 1000000
",Unsold,Unsold
125,"
Shorna Akter "," 2000000
",Unsold,Unsold
126,"
Kim Garth "," 3000000
",Unsold,Unsold
127,Katherine Brunt , 5000000,Unsold,Unsold
128,"
Simran Bahadur "," 3000000
",Unsold,Unsold
129,"
Anuja Patil "," 3000000
",Unsold,Unsold
130,"
Swagatika Rath "," 3000000
",Unsold,Unsold
131,"
Meghna Singh "," 5000000
",Unsold,Unsold
132,"
Mahika Gaur "," 1000000
",Unsold,Unsold
133,"
Tarannum Pathan "," 1000000
",Unsold,Unsold
134,"
Sajana S "," 1000000
",Unsold,Unsold
135,"
Nishu Choudhary "," 1000000
",Unsold,Unsold
136,"
Kathryn Bryce "," 1000000
",Unsold,Unsold
137,"
Tess Flintoff "," 1000000
",Unsold,Unsold
138,"
Neetu Singh ","1000000
",Unsold,Unsold
139,"
Parushi Prabhakar "," 1000000
",Unsold,Unsold
140,"
Anushka Sanjeewani "," 3000000
",Unsold,Unsold
141,"
Bernadine Bezuidenhout "," 3000000
",Unsold,Unsold
142,"
Amy Jones "," 4000000
",Unsold,Unsold
143,Hrishita Basu, 1000000,Unsold,Unsold
144,"
Shipra Giri "," 1000000
",Unsold,Unsold
145,"
Sarah Bryce "," 1000000
",Unsold,Unsold
