,Name,Base Price (rs),Sold Price (rs),Team
120,Archana Devi , 10 lakh,Unsold,Unsold
121,G. Trisha , 10 lakh,Unsold,Unsold
122,"
Mannat Kashyap "," 10 lakh
",Unsold,Unsold
123,"
Najla CMC "," 10 lakh
",Unsold,Unsold
124,"
Sonia Mendhiya "," 10 lakh
",Unsold,Unsold
125,"
Shorna Akter "," 20 lakh
",Unsold,Unsold
126,"
Kim Garth "," 30 lakh
",Unsold,Unsold
127,Katherine Brunt , 50 lakh,Unsold,Unsold
128,"
Simran Bahadur "," 30 lakh
",Unsold,Unsold
129,"
Anuja Patil "," 30 lakh
",Unsold,Unsold
130,"
Swagatika Rath "," 30 lakh
",Unsold,Unsold
131,"
Meghna Singh "," 50 lakh
",Unsold,Unsold
132,"
Mahika Gaur "," 10 lakh
",Unsold,Unsold
133,"
Tarannum Pathan "," 10 lakh
",Unsold,Unsold
134,"
Sajana S "," 10 lakh
",Unsold,Unsold
135,"
Nishu Choudhary "," 10 lakh
",Unsold,Unsold
136,"
Kathryn Bryce "," 10 lakh
",Unsold,Unsold
137,"
Tess Flintoff "," 10 lakh
",Unsold,Unsold
138,"
Neetu Singh ","10 lakh
",Unsold,Unsold
139,"
Parushi Prabhakar "," 10 lakh
",Unsold,Unsold
140,"
Anushka Sanjeewani "," 30 lakh
",Unsold,Unsold
141,"
Bernadine Bezuidenhout "," 30 lakh
",Unsold,Unsold
142,"
Amy Jones "," 40 lakh
",Unsold,Unsold
143,Hrishita Basu, 10 lakh,Unsold,Unsold
144,"
Shipra Giri "," 10 lakh
",Unsold,Unsold
145,"
Sarah Bryce "," 10 lakh
",Unsold,Unsold
